title,url,date,date_parsed,event_type,score,reasons
Statement from PM Bennett's Office following Claims alleging that there has been a Change on the Temple Mount due to Political Pressure,https://www.gov.il/en/pages/spoke_templemount100522,2022-05-10,2022-05-10,no_netanyahu,-100,no Netanyahu mention
PM Bennett's Remarks at the Start of the Weekly Cabinet Meeting,https://www.gov.il/en/pages/spoke_start080522,2022-05-08,2022-05-08,no_netanyahu,-100,no Netanyahu mention
PM Bennett Speaks with Russian President Putin,https://www.gov.il/en/pages/spoke_putin050522,2022-05-05,2022-05-05,no_netanyahu,-100,no Netanyahu mention
PM Bennett Holds Security Consultation,https://www.gov.il/en/pages/spoke_consultation050522,2022-05-05,2022-05-05,no_netanyahu,-100,no Netanyahu mention
PM Bennett's Independence Day Greetings,https://www.gov.il/en/pages/spoke_independence040522,2022-05-04,2022-05-04,no_netanyahu,-100,no Netanyahu mention
PM Bennett's Speech at the State Ceremony for Memorial Day for Israel's Fallen Soldiers,https://www.gov.il/en/pages/event_ceremony040522,2022-05-04,2022-05-04,no_netanyahu,-100,no Netanyahu mention
"Prime Minister Naftali Bennett: ""I view with utmost severity the Russian Foreign Minister's statement.""",https://www.gov.il/en/pages/spoke_crime020522,2022-05-02,2022-05-02,no_netanyahu,-100,no Netanyahu mention
PM Naftali Bennett's Remarks at the Start of the Weekly Cabinet Meeting,https://www.gov.il/en/pages/spoke_start010522,2022-05-01,2022-05-01,no_netanyahu,-100,no Netanyahu mention
"PM Bennett: ""There is no terrorist whom we will not reach and settle accounts with.""",https://www.gov.il/en/pages/spoke_pmo300422,2022-04-30,2022-04-30,no_netanyahu,-100,no Netanyahu mention
PM Bennett at Yad Vashem Wreath-Laying Ceremony,https://www.gov.il/en/pages/event_memorial_day280422,2022-04-28,2022-04-28,no_netanyahu,-100,no Netanyahu mention
PM Naftali Bennett and his wife Gilat lighting memorial candles for Holocaust Martyrs' and Heroes' Remembrance Day at the Knesset,https://www.gov.il/en/pages/event_candles280422,2022-04-28,2022-04-28,no_netanyahu,-100,no Netanyahu mention
